type,route_id,route_name,record_index,time,x,y,z,pitch,yaw,roll
record,1784830782255,test,5,2026-07-23T18:21:42.410600600+00:00,146488.312,-47899.828,34519.586,323.898682,130.700638,0
record,1784830782255,test,6,2026-07-23T18:21:52.758575200+00:00,146507.953,-47842.602,34612.812,328.014191,91.128754,0
record,1784830782255,test,7,2026-07-23T18:22:03.108258400+00:00,148737.594,-48818.016,34387.918,343.792236,2.664901,0
record,1784830782255,test,8,2026-07-23T18:22:13.458268600+00:00,149815.078,-48588.781,34146.324,321.447021,332.281952,0
record,1784830782255,test,9,2026-07-23T18:22:23.807541500+00:00,152150.328,-44142.668,33899.887,350.673645,72.82618,0
record,1784830782255,test,10,2026-07-23T18:22:34.156831200+00:00,164136.062,-15493.252,31328.043,350.850922,64.671204,0
record,1784830782255,test,11,2026-07-23T18:22:44.505847800+00:00,177754.406,13220.258,28509.283,344.823517,61.657425,0
record,1784830782255,test,12,2026-07-23T18:22:54.854450+00:00,181400.281,36766.328,29830.881,347.660004,176.713394,0
record,1784830782255,test,13,2026-07-23T18:23:05.202804800+00:00,167483.891,36302.273,29930.814,345.887238,178.663742,0
record,1784830782255,test,14,2026-07-23T18:23:15.550685+00:00,156709.75,37952.656,29995.016,349.787567,165.899551,0
record,1784830782255,test,15,2026-07-23T18:23:25.899504900+00:00,152876.484,37944.992,29806.771,345.178253,231.670685,0
record,1784830782255,test,16,2026-07-23T18:23:36.249191600+00:00,152699.531,37073.234,29852.576,337.377869,318.006989,0
record,1784830782255,test,17,2026-07-23T18:23:46.596845200+00:00,152764.438,36997.703,29815.449,312.767395,9.721283,0
record,1784830782255,test,18,2026-07-23T18:23:56.947136500+00:00,152706.359,36970.688,29871.9,292.3479,24.283566,0
record,1784830782255,test,19,2026-07-23T18:24:07.296692300+00:00,152727.922,37009.164,29812.818,330.011475,203.042694,0
record,1784830782255,test,20,2026-07-23T18:24:17.648246600+00:00,152662.641,37187.359,29743.52,344.890289,46.917393,0
record,1784830782255,test,21,2026-07-23T18:24:27.997319100+00:00,153031.953,38800.992,29893.852,330.653473,67.072128,0
record,1784830782255,test,22,2026-07-23T18:24:38.346676+00:00,153356.562,39167.594,29782.445,343.468903,43.811634,0
record,1784830782255,test,23,2026-07-23T18:24:48.696880400+00:00,153202.312,39241.406,29762.613,341.569183,7.722109,0
record,1784830782255,test,24,2026-07-23T18:24:59.044650600+00:00,153417.797,39183.203,29877.748,300.571991,74.36084,0
record,1784830782255,test,25,2026-07-23T18:25:09.393347700+00:00,153458.531,38987.523,29822.531,344.25943,243.465988,0
record,1784830782255,test,26,2026-07-23T18:25:19.741896800+00:00,153348.281,39167.117,29777.449,326.055756,48.614014,0
record,1784830782255,test,27,2026-07-23T18:25:30.091784900+00:00,153178.125,38692.422,29838.342,317.685699,242.507126,0
record,1784830782255,test,28,2026-07-23T18:25:40.440549200+00:00,153154.156,38849.367,29849.922,339.482697,254.147995,0
record,1784830782255,test,29,2026-07-23T18:25:50.790692+00:00,152992.625,38325.383,29825.658,340.546417,247.7659,0
record,1784830782255,test,30,2026-07-23T18:26:01.140999200+00:00,153088.672,39522.477,29973.984,307.322296,61.619896,0
record,1784830782255,test,31,2026-07-23T18:26:11.489485800+00:00,155059.391,41202.531,29971.535,345.615295,261.179718,0
record,1784830782255,test,32,2026-07-23T18:26:21.838701200+00:00,151049.188,27188.547,29963.033,346.324554,228.028107,0
record,1784830782255,test,33,2026-07-23T18:26:32.188113100+00:00,140988.656,10969.617,29986.203,348.629456,83.602913,0
record,1784830782255,test,34,2026-07-23T18:26:42.536982500+00:00,142610.312,-10325.809,31301.365,338.878754,288.303314,0
record,1784830782255,test,35,2026-07-23T18:26:52.886617400+00:00,154698.375,-33424.438,32955.477,353.415741,284.402863,0
